backend/log-analyzer/index.py:10: warning: handler has 153 NLOC, 22 CCN, 876 token, 2 PARAM, 202 length, 0 ND
backend/api-ai-training/index.py:486: warning: handle_reindex has 118 NLOC, 30 CCN, 762 token, 3 PARAM, 145 length, 0 ND
backend/api-ai-training/index.py:633: warning: handle_rules has 40 NLOC, 14 CCN, 425 token, 4 PARAM, 71 length, 0 ND
backend/api-ai-training/index.py:706: warning: handle_pending_reviews has 61 NLOC, 32 CCN, 792 token, 4 PARAM, 150 length, 0 ND
backend/api-executor-groups/index.py:9: warning: handler has 29 NLOC, 11 CCN, 182 token, 2 PARAM, 34 length, 0 ND
backend/api-ticket-comments/index.py:178: warning: handler has 37 NLOC, 18 CCN, 275 token, 2 PARAM, 46 length, 0 ND
backend/api-ticket-comments/index.py:226: warning: handle_mark_read has 27 NLOC, 14 CCN, 290 token, 3 PARAM, 47 length, 0 ND
backend/api-ticket-comments/index.py:357: warning: handle_get_comments has 68 NLOC, 39 CCN, 850 token, 3 PARAM, 147 length, 0 ND
backend/api-ticket-comments/index.py:506: warning: handle_create_comment has 108 NLOC, 46 CCN, 1167 token, 3 PARAM, 206 length, 0 ND
backend/api-ticket-comments/index.py:746: warning: handle_edit_comment has 78 NLOC, 28 CCN, 690 token, 3 PARAM, 123 length, 0 ND
backend/api-ticket-comments/index.py:937: warning: send_bitrix_notifications has 37 NLOC, 17 CCN, 322 token, 6 PARAM, 77 length, 0 ND
backend/api-ticket-comments/index.py:1016: warning: _collect_recipients has 19 NLOC, 13 CCN, 162 token, 4 PARAM, 29 length, 0 ND
backend/api-ticket-comments/max_bot_notifier.py:86: warning: send_comment_notifications has 34 NLOC, 19 CCN, 399 token, 7 PARAM, 76 length, 0 ND
backend/automation-dispatcher/index.py:143: warning: execute_job has 48 NLOC, 18 CCN, 352 token, 2 PARAM, 51 length, 0 ND
backend/api-ticket-history/index.py:27: warning: handler has 25 NLOC, 11 CCN, 252 token, 2 PARAM, 61 length, 0 ND
backend/departments/index.py:239: warning: handler has 37 NLOC, 13 CCN, 289 token, 2 PARAM, 44 length, 0 ND
backend/departments/orgchart.py:195: warning: handle_update_dept has 48 NLOC, 12 CCN, 287 token, 4 PARAM, 48 length, 0 ND
backend/departments/orgchart.py:357: warning: route has 53 NLOC, 37 CCN, 524 token, 3 PARAM, 62 length, 0 ND
backend/api-general/contractors_handler.py:12: warning: handle_contractors has 40 NLOC, 12 CCN, 453 token, 3 PARAM, 64 length, 0 ND
backend/api-general/users_handler.py:32: warning: handle_users has 210 NLOC, 66 CCN, 1857 token, 4 PARAM, 295 length, 0 ND
backend/api-general/system_settings_handler.py:9: warning: handle_system_settings has 46 NLOC, 16 CCN, 377 token, 4 PARAM, 54 length, 0 ND
backend/api-general/index.py:17: warning: handler has 43 NLOC, 20 CCN, 321 token, 2 PARAM, 54 length, 0 ND
backend/api-general/notification_templates_handler.py:27: warning: handle_notification_templates has 84 NLOC, 28 CCN, 659 token, 4 PARAM, 98 length, 0 ND
backend/api-general/legal_entities_handler.py:12: warning: handle_legal_entities has 36 NLOC, 12 CCN, 373 token, 3 PARAM, 55 length, 0 ND
backend/api-general/permissions_middleware.py:7: warning: check_permission has 25 NLOC, 12 CCN, 141 token, 4 PARAM, 48 length, 0 ND
backend/api-general/categories_handler.py:12: warning: handle_categories has 42 NLOC, 12 CCN, 357 token, 3 PARAM, 51 length, 0 ND
backend/api-general/roles_handler.py:13: warning: handle_roles has 75 NLOC, 26 CCN, 745 token, 4 PARAM, 122 length, 0 ND
backend/api-general/customer_departments_handler.py:12: warning: handle_customer_departments has 36 NLOC, 12 CCN, 357 token, 3 PARAM, 55 length, 0 ND
backend/companies/index.py:14: warning: handler has 145 NLOC, 18 CCN, 783 token, 2 PARAM, 154 length, 0 ND
backend/tickets-mark-read/index.py:12: warning: handler has 30 NLOC, 11 CCN, 321 token, 2 PARAM, 78 length, 0 ND
backend/create-employee-account/index.py:134: warning: is_admin has 28 NLOC, 12 CCN, 155 token, 1 PARAM, 28 length, 0 ND
backend/create-employee-account/index.py:213: warning: handle_save_settings has 30 NLOC, 14 CCN, 215 token, 2 PARAM, 30 length, 0 ND
backend/create-employee-account/index.py:245: warning: handle_create has 124 NLOC, 48 CCN, 943 token, 1 PARAM, 138 length, 0 ND
backend/create-employee-account/index.py:450: warning: _fetch_bitrix_user_by_name has 30 NLOC, 15 CCN, 258 token, 2 PARAM, 34 length, 0 ND
backend/create-employee-account/index.py:636: warning: create_bitrix_user has 86 NLOC, 29 CCN, 627 token, 15 PARAM, 115 length, 0 ND
backend/create-employee-account/index.py:753: warning: check_bitrix has 21 NLOC, 12 CCN, 223 token, 1 PARAM, 21 length, 0 ND
backend/create-employee-account/index.py:776: warning: check_ispmanager has 19 NLOC, 13 CCN, 235 token, 3 PARAM, 19 length, 0 ND
backend/create-employee-account/index.py:816: warning: lancloud_login has 97 NLOC, 39 CCN, 791 token, 3 PARAM, 111 length, 0 ND
backend/create-employee-account/index.py:958: warning: list_ispmanager_domains has 40 NLOC, 19 CCN, 282 token, 3 PARAM, 44 length, 0 ND
backend/create-employee-account/index.py:1004: warning: _isp_parse_error has 27 NLOC, 20 CCN, 266 token, 1 PARAM, 30 length, 0 ND
backend/create-employee-account/index.py:1036: warning: create_ispmanager_mailbox has 65 NLOC, 18 CCN, 459 token, 6 PARAM, 80 length, 0 ND
backend/create-employee-account/index.py:1118: warning: list_lancloud_domains has 47 NLOC, 17 CCN, 323 token, 3 PARAM, 61 length, 0 ND
backend/create-employee-account/index.py:1216: warning: handle_test has 27 NLOC, 14 CCN, 236 token, 2 PARAM, 32 length, 0 ND
backend/create-employee-account/index.py:1360: warning: extract_direct_fields has 34 NLOC, 15 CCN, 208 token, 2 PARAM, 36 length, 0 ND
backend/create-employee-account/index.py:1398: warning: build_ai_prompt has 36 NLOC, 19 CCN, 293 token, 1 PARAM, 36 length, 0 ND
backend/create-employee-account/index.py:1474: warning: normalize_ai_result has 30 NLOC, 13 CCN, 292 token, 1 PARAM, 31 length, 0 ND
backend/create-employee-account/index.py:1537: warning: handler has 48 NLOC, 17 CCN, 330 token, 2 PARAM, 66 length, 0 ND
backend/api-classify-ticket/index.py:256: warning: _format_examples_text has 29 NLOC, 16 CCN, 247 token, 2 PARAM, 32 length, 0 ND
backend/api-classify-ticket/index.py:457: warning: classify_by_keywords has 43 NLOC, 18 CCN, 270 token, 2 PARAM, 52 length, 0 ND
backend/api-classify-ticket/index.py:511: warning: validate_result has 21 NLOC, 15 CCN, 257 token, 2 PARAM, 26 length, 0 ND
backend/api-classify-ticket/index.py:743: warning: handler has 118 NLOC, 28 CCN, 1059 token, 2 PARAM, 132 length, 0 ND
backend/automation/index.py:61: warning: is_admin has 31 NLOC, 14 CCN, 157 token, 1 PARAM, 32 length, 0 ND
backend/automation/index.py:128: warning: fetch_jobs has 31 NLOC, 11 CCN, 210 token, 0 PARAM, 31 length, 0 ND
backend/automation/index.py:284: warning: execute_job has 65 NLOC, 26 CCN, 582 token, 3 PARAM, 69 length, 0 ND
backend/automation/index.py:355: warning: handler has 73 NLOC, 29 CCN, 673 token, 2 PARAM, 92 length, 0 ND
backend/api-bulk-tickets/bitrix_bot_notifier.py:69: warning: notify_watcher_added has 39 NLOC, 13 CCN, 235 token, 6 PARAM, 59 length, 0 ND
backend/api-bulk-tickets/index.py:124: warning: handler has 329 NLOC, 84 CCN, 2387 token, 2 PARAM, 470 length, 0 ND
backend/api-tickets/bitrix_bot_notifier.py:84: warning: notify_executor_assigned has 61 NLOC, 21 CCN, 480 token, 5 PARAM, 110 length, 0 ND
backend/api-tickets/index.py:185: warning: _resolve_watcher_target_user_ids has 13 NLOC, 15 CCN, 218 token, 2 PARAM, 30 length, 0 ND
backend/api-tickets/index.py:217: warning: _apply_watcher_rules has 55 NLOC, 28 CCN, 527 token, 4 PARAM, 92 length, 0 ND
backend/api-tickets/index.py:330: warning: handle_tickets_created_stats has 39 NLOC, 15 CCN, 384 token, 3 PARAM, 81 length, 0 ND
backend/api-tickets/index.py:413: warning: handle_tickets_rating_stats has 27 NLOC, 13 CCN, 295 token, 3 PARAM, 62 length, 0 ND
backend/api-tickets/index.py:492: warning: handle_dashboard_ops has 75 NLOC, 40 CCN, 1007 token, 3 PARAM, 232 length, 0 ND
backend/api-tickets/index.py:726: warning: handle_dashboard_sla has 67 NLOC, 17 CCN, 680 token, 3 PARAM, 124 length, 0 ND
backend/api-tickets/index.py:852: warning: handle_dashboard_services has 80 NLOC, 32 CCN, 847 token, 3 PARAM, 166 length, 0 ND
backend/api-tickets/index.py:1020: warning: handle_dashboard_team has 98 NLOC, 37 CCN, 1151 token, 3 PARAM, 394 length, 0 ND
backend/api-tickets/index.py:1416: warning: handle_escalation_tickets has 28 NLOC, 23 CCN, 569 token, 3 PARAM, 152 length, 0 ND
backend/api-tickets/index.py:1570: warning: handler has 27 NLOC, 11 CCN, 158 token, 2 PARAM, 34 length, 0 ND
backend/api-tickets/index.py:1606: warning: _route has 59 NLOC, 29 CCN, 424 token, 4 PARAM, 59 length, 0 ND
backend/api-tickets/index.py:1691: warning: resolve_company_structure has 35 NLOC, 15 CCN, 273 token, 3 PARAM, 39 length, 0 ND
backend/api-tickets/index.py:1761: warning: _validate_required_custom_fields has 16 NLOC, 14 CCN, 196 token, 4 PARAM, 42 length, 0 ND
backend/api-tickets/index.py:1805: warning: handle_tickets has 708 NLOC, 337 CCN, 7227 token, 3 PARAM, 1485 length, 0 ND
backend/api-tickets/index.py:3291: warning: handle_service_categories has 51 NLOC, 13 CCN, 463 token, 3 PARAM, 86 length, 0 ND
backend/api-tickets/index.py:3378: warning: handle_ticket_dictionaries has 33 NLOC, 11 CCN, 295 token, 3 PARAM, 43 length, 0 ND
backend/api-tickets/index.py:3497: warning: _parse_notify_rules has 30 NLOC, 14 CCN, 200 token, 1 PARAM, 41 length, 0 ND
backend/api-tickets/index.py:3640: warning: handle_ticket_statuses has 139 NLOC, 43 CCN, 1344 token, 3 PARAM, 169 length, 0 ND
backend/api-tickets/index.py:3810: warning: handle_ticket_services has 143 NLOC, 29 CCN, 1082 token, 3 PARAM, 206 length, 0 ND
backend/api-tickets/index.py:4044: warning: handle_ticket_approvals has 43 NLOC, 32 CCN, 670 token, 3 PARAM, 151 length, 0 ND
backend/api-tickets/index.py:4197: warning: handle_ticket_confirmation has 85 NLOC, 32 CCN, 967 token, 3 PARAM, 144 length, 0 ND
backend/api-tickets/index.py:4343: warning: handle_ticket_watchers has 65 NLOC, 33 CCN, 750 token, 3 PARAM, 138 length, 0 ND
backend/api-tickets/index.py:4483: warning: handle_tickets_bootstrap has 63 NLOC, 15 CCN, 535 token, 3 PARAM, 147 length, 0 ND
backend/api-tickets/index.py:4632: warning: handle_tickets_full has 96 NLOC, 46 CCN, 903 token, 3 PARAM, 173 length, 0 ND
backend/api-tickets/group_tracking_service.py:139: warning: track_ticket_closed has 24 NLOC, 11 CCN, 264 token, 3 PARAM, 64 length, 0 ND
backend/api-tickets/max_bot_notifier.py:127: warning: notify_executor_assigned has 42 NLOC, 19 CCN, 410 token, 5 PARAM, 85 length, 0 ND
backend/api-tickets/max_bot_notifier.py:241: warning: send_comment_notifications has 32 NLOC, 16 CCN, 375 token, 7 PARAM, 74 length, 0 ND
backend/api-tickets/access_checklist_handler.py:235: warning: handle_ticket_access_checklist has 73 NLOC, 23 CCN, 547 token, 3 PARAM, 109 length, 0 ND
backend/api-tickets/access_checklist_handler.py:346: warning: handle_access_checklist_services has 82 NLOC, 26 CCN, 656 token, 3 PARAM, 124 length, 0 ND
backend/api-tickets/priorities_handler.py:5: warning: handle_ticket_priorities has 67 NLOC, 13 CCN, 552 token, 3 PARAM, 84 length, 0 ND
backend/api-tickets/response_control_handler.py:55: warning: _build_filters has 35 NLOC, 15 CCN, 287 token, 1 PARAM, 42 length, 0 ND
backend/api-tickets/response_control_handler.py:99: warning: handle_response_control has 13 NLOC, 12 CCN, 405 token, 3 PARAM, 118 length, 0 ND
backend/api-tickets/sla_analytics_handler.py:32: warning: _get_dashboard has 24 NLOC, 11 CCN, 294 token, 2 PARAM, 98 length, 0 ND
backend/api-tickets/sla_analytics_handler.py:173: warning: _get_ticket_sla_info has 56 NLOC, 31 CCN, 714 token, 3 PARAM, 149 length, 0 ND
backend/bitrix-sync-heads/index.py:105: warning: sync_heads_to_users has 101 NLOC, 25 CCN, 689 token, 2 PARAM, 163 length, 0 ND
backend/bitrix-inactive-users/index.py:48: warning: is_admin has 31 NLOC, 14 CCN, 157 token, 1 PARAM, 32 length, 0 ND
backend/bitrix-inactive-users/index.py:267: warning: fetch_report_with_items has 48 NLOC, 13 CCN, 280 token, 1 PARAM, 48 length, 0 ND
backend/bitrix-inactive-users/index.py:348: warning: search_bitrix_users has 40 NLOC, 12 CCN, 313 token, 1 PARAM, 63 length, 0 ND
backend/bitrix-inactive-users/index.py:444: warning: _isp_get_mailbox has 21 NLOC, 13 CCN, 182 token, 1 PARAM, 25 length, 0 ND
backend/bitrix-inactive-users/index.py:480: warning: disable_email has 37 NLOC, 15 CCN, 343 token, 1 PARAM, 47 length, 0 ND
backend/bitrix-inactive-users/index.py:589: warning: handler has 208 NLOC, 59 CCN, 1515 token, 2 PARAM, 232 length, 0 ND
backend/users-search/index.py:9: warning: handler has 33 NLOC, 11 CCN, 310 token, 2 PARAM, 62 length, 0 ND
backend/process-scheduled-payments/index.py:19: warning: process_scheduled_payments has 54 NLOC, 14 CCN, 433 token, 0 PARAM, 130 length, 0 ND
backend/bitrix-sync-departments/index.py:18: warning: fetch_all_bitrix_departments has 58 NLOC, 15 CCN, 380 token, 0 PARAM, 78 length, 0 ND
backend/bitrix-sync-departments/index.py:149: warning: sync_departments_to_db has 82 NLOC, 19 CCN, 586 token, 2 PARAM, 145 length, 0 ND
backend/bitrix-sync-departments/index.py:296: warning: fetch_all_bitrix_users has 54 NLOC, 11 CCN, 306 token, 0 PARAM, 72 length, 0 ND
backend/bitrix-sync-departments/index.py:370: warning: sync_positions_and_users has 118 NLOC, 39 CCN, 878 token, 2 PARAM, 191 length, 0 ND
backend/bitrix-sync-departments/index.py:563: warning: handler has 74 NLOC, 11 CCN, 433 token, 2 PARAM, 94 length, 0 ND
backend/tickets-overdue-checker/index.py:15: warning: handler has 68 NLOC, 16 CCN, 568 token, 2 PARAM, 111 length, 0 ND
backend/tickets-overdue-checker/status_notify.py:28: warning: run_status_notifications has 67 NLOC, 36 CCN, 853 token, 2 PARAM, 209 length, 0 ND
backend/api-reply-templates/index.py:22: warning: handler has 72 NLOC, 33 CCN, 757 token, 2 PARAM, 127 length, 0 ND
backend/bitrix-notify/index.py:41: warning: handle_comment_notification has 39 NLOC, 13 CCN, 346 token, 1 PARAM, 80 length, 0 ND
backend/api-watcher-rules/bitrix_bot_notifier.py:60: warning: notify_watcher_added has 34 NLOC, 12 CCN, 211 token, 5 PARAM, 51 length, 0 ND
backend/api-watcher-rules/index.py:22: warning: handler has 52 NLOC, 21 CCN, 337 token, 2 PARAM, 61 length, 0 ND
backend/api-watcher-rules/index.py:177: warning: _validate_rule_payload has 21 NLOC, 14 CCN, 175 token, 1 PARAM, 21 length, 0 ND
backend/api-watcher-rules/index.py:356: warning: _resolve_target_user_ids has 13 NLOC, 15 CCN, 214 token, 2 PARAM, 29 length, 0 ND
backend/api-watcher-rules/index.py:387: warning: apply_rules has 50 NLOC, 27 CCN, 507 token, 2 PARAM, 85 length, 0 ND
backend/api-watcher-rules/index.py:474: warning: apply_executor_change has 62 NLOC, 30 CCN, 568 token, 2 PARAM, 107 length, 0 ND
backend/api-watcher-rules/index.py:583: warning: backfill_rules has 112 NLOC, 45 CCN, 930 token, 2 PARAM, 173 length, 0 ND
backend/bitrix-sync-positions/index.py:18: warning: fetch_all_bitrix_users has 51 NLOC, 11 CCN, 288 token, 0 PARAM, 62 length, 0 ND
backend/bitrix-sync-positions/index.py:82: warning: sync_positions_and_users has 129 NLOC, 42 CCN, 938 token, 2 PARAM, 182 length, 0 ND
backend/bitrix-sync-positions/index.py:266: warning: handler has 66 NLOC, 11 CCN, 375 token, 2 PARAM, 81 length, 0 ND
backend/reassign-by-schedule/index.py:30: warning: handler has 50 NLOC, 8 CCN, 469 token, 2 PARAM, 133 length, 0 ND
backend/auth/index.py:19: warning: handler has 50 NLOC, 18 CCN, 310 token, 2 PARAM, 68 length, 0 ND
backend/auth/auth_service.py:16: warning: handle_login has 61 NLOC, 13 CCN, 503 token, 2 PARAM, 79 length, 0 ND
backend/auth/database_service.py:20: warning: _build_roles_with_permissions has 27 NLOC, 13 CCN, 335 token, 4 PARAM, 64 length, 0 ND
